rank,participant,C1,C2,C3,C4,C5,C6,C7,C8,score,provenance,source_ids
1,МПФИТ,20,20,18,14,10,7.6,5,4.3,98.9,original_frozen_2026-09-05,S003;S004;S005;S006;S007
2,SkladBot,19,19,15.3,14,10,7.6,4,4,92.9,new_market_recall_2026-09-18,S044;S045;S046;S047;S048
3,OrderAdmin,19,19,15.3,11.9,10,8,4.3,4.2,91.7,original_frozen_2026-09-05,S008;S009
4,ALL IN,19,19,16.2,11.9,10,7.2,4,2.8,90.1,new_market_recall_2026-09-18,S023
5,Fulcore,19,20,13.5,11.9,10,7.2,4,2.8,88.4,new_market_recall_2026-09-18,S018
6,NWMS,18,18,15.3,11.9,8.5,8,4,4.2,87.9,new_market_recall_2026-09-18,S016;S017
7,TS-WMS,18,18,15.3,10.5,9,7.6,4.3,4,86.7,original_frozen_2026-09-05,S010;S011;S012
8,SelSup,18,17,13.5,11.9,10,8,4,4,86.4,new_market_recall_2026-09-18,S019;S020
9,WMS-Seller,18,18,12.6,11.9,10,7.6,4.3,3.2,85.6,new_market_recall_2026-09-18,S013;S014;S015
10,TopLog WMS,18,18,11.7,14,9,4.4,5,5,85.1,new_market_recall_2026-09-18,S030;S031;S032
11,SmartFulfill,18,18,14.4,10.5,9,8,4,2.3,84.2,new_market_recall_2026-09-18,S038;S039;S040
12,МАЙЯ WMS,18,18,11.7,11.9,8.5,6.4,4,5,83.5,new_market_recall_2026-09-18,S049;S050
13,Vorm WMS,18,17,12.6,11.9,8.5,7.6,4,3.5,83.1,new_market_recall_2026-09-18,S024;S025
14,LEAD WMS,18,17,11.7,11.9,8.5,6.4,3.8,5,82.3,original_frozen_2026-09-05,S034
15,Nemika WMS Cloud,18,18,13.5,11.9,5.5,6.8,4,4.5,82.2,original_frozen_2026-09-05,S026;S027
16,ЯКурьер WMS,18,18,13.5,10.5,9,6.4,4.5,2.3,82.2,original_frozen_2026-09-05,S021;S022
17,Topseller WMS,19,12,16.2,11.9,5.5,8,4.5,4.5,81.6,new_market_recall_2026-09-18,S051;S052
18,RAXS,18,18,10.8,10.5,10,5.6,5,3.2,81.1,new_market_recall_2026-09-18,S053
19,JUSTDO WMS,16,13,14.4,11.9,7.5,6,3.2,2.8,74.8,original_frozen_2026-09-05,S033
20,WMS24,15,14,12.6,10.5,7.5,6,3.8,4.2,73.6,original_frozen_2026-09-05,S028;S029
21,InStock WMS,12,10,11.7,11.9,5.5,6.4,4,5,66.5,new_market_recall_2026-09-18,S035;S036;S037
22,SEVCO WMS,15,14,9.9,9.8,4.5,3.6,3.5,4.8,65.1,original_frozen_2026-09-05,S043
23,AS WMS,15,14,9.9,9.8,3.5,4.4,4,4,64.6,original_frozen_2026-09-05,S041;S042
